"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.71460933632076e-226,2.70400989129478,0.486,0.066,5.90698991583397e-222,"0","ADAP2"
5.82810169287531e-225,2.24551446392272,0.783,0.291,1.26819492836967e-220,"0","TRIB1"
5.04120565391113e-223,2.5042746551556,0.559,0.101,1.09696635029106e-218,"0","FERMT3"
2.88165086732224e-222,2.55172968633244,0.516,0.079,6.27047228729319e-218,"0","FMNL1"
1.76570804132101e-221,1.84924153402323,0.887,0.43,3.84218069791451e-217,"0","MAFB"
2.56228240046122e-221,3.23994569441704,0.411,0.041,5.57552650340361e-217,"0","SH3TC1"
7.80939845260332e-221,3.94853829296701,0.364,0.026,1.69932510328648e-216,"0","PDGFB"
1.45360642224545e-219,2.15646023149512,0.731,0.233,3.1630475748061e-215,"0","MAP2K3"
6.36123948948429e-219,2.34434295450935,0.64,0.156,1.38420571291178e-214,"0","RNF149"
1.39088795580493e-218,2.02642531870447,0.823,0.347,3.02657219183153e-214,"0","KDM6B"
2.48221686653532e-217,2.26364785169428,0.622,0.139,5.40130390158085e-213,"0","TNFAIP8"
2.53216787371053e-217,3.49131572675707,0.394,0.037,5.50999729319412e-213,"0","CSF2RA"
2.92321601157952e-217,1.98296124175345,0.598,0.114,6.36091804119705e-213,"0","LCP1"
8.32824703975968e-216,1.68594049798448,0.95,0.619,1.81222655585171e-211,"0","SGK1"
1.57610131480082e-213,2.72500363632061,0.488,0.074,3.42959646100658e-209,"0","CALHM6"
1.34925121512765e-212,3.6495778106738,0.371,0.032,2.93597064411776e-208,"0","KMO"
9.53567422266422e-212,2.12509914930834,0.654,0.164,2.07496271085173e-207,"0","ARRB2"
2.5203371570461e-211,2.50394556574955,0.665,0.178,5.48425365373232e-207,"0","TGFBI"
2.16404512243136e-210,2.61210995330147,0.553,0.112,4.70896218641063e-206,"0","GK"
3.19862995030488e-210,1.97114138439199,0.651,0.151,6.96021877186341e-206,"0","FXYD5"
3.43048866220276e-210,2.72751262106889,0.459,0.062,7.46474332895321e-206,"0","IL10RA"
4.79221866020453e-210,3.28823124495385,0.406,0.044,1.0427867804605e-205,"0","FGL2"
2.18733330449298e-209,2.32905744307568,0.494,0.074,4.75963727057673e-205,"0","CD300A"
3.94570099778089e-209,2.80047647292057,0.46,0.064,8.58584537117121e-205,"0","SPINT2"
1.34278237498972e-207,2.37948961863526,0.603,0.144,2.92189444797762e-203,"0","CD302"
2.19651245303741e-207,0.946400043853993,1,0.993,4.77961109780941e-203,"0","RPS24"
1.21940035512472e-206,1.88178474719914,0.747,0.24,2.6534151727514e-202,"0","EFHD2"
1.43449544119619e-206,1.11146730518237,0.998,0.987,3.1214620800429e-202,"0","MT-CO3"
1.98543657189924e-205,1.26557562295508,0.999,0.98,4.32030998045274e-201,"0","NEAT1"
6.04030103690808e-204,2.77847247462845,0.65,0.195,1.3143695056312e-199,"0","GLA"
1.17910178868366e-203,2.17532002678474,0.614,0.148,2.56572549217563e-199,"0","PLXDC2"
1.25616912093384e-203,3.14509544092293,0.405,0.046,2.73342400715204e-199,"0","RASSF5"
6.61093603069398e-203,1.97035617044118,0.762,0.286,1.43853968027901e-198,"0","GNA13"
1.00009345760968e-202,3.08843008029439,0.378,0.037,2.17620336375866e-198,"0","HPGDS"
7.23855467041858e-202,1.78242607144101,0.867,0.468,1.57510949628308e-197,"0","GRN"
3.45082766671134e-200,2.31617836453947,0.617,0.159,7.50900100276388e-196,"0","LHFPL2"
9.63592845975239e-200,2.63545670242915,0.422,0.052,2.09677803284212e-195,"0","TM6SF1"
2.2292814214616e-199,2.0579461304765,0.726,0.248,4.85091637310045e-195,"0","GYPC"
4.19383005355354e-198,2.53724477931116,0.424,0.053,9.12577419653251e-194,"0","MNDA"
5.07531607817263e-198,2.68419898791723,0.474,0.076,1.10438877861036e-193,"0","PILRA"
8.97698150705022e-197,2.86977988039915,0.4,0.046,1.95339117593413e-192,"0","NCKAP1L"
1.52019982789244e-196,1.82624098744463,0.838,0.378,3.30795482549394e-192,"0","RGCC"
6.97999199306083e-195,1.82403999040059,0.832,0.419,1.51884625769004e-190,"0","ELL2"
3.6762952472828e-193,2.31871073161352,0.579,0.14,7.99961845808737e-189,"0","MPP1"
1.80971919593831e-192,2.9381093964089,0.394,0.046,3.93794897036176e-188,"0","PIK3AP1"
6.83897100605886e-191,2.77579552687722,0.444,0.069,1.48816009091841e-186,"0","SEMA6B"
8.72263142091078e-190,1.29169966945904,0.991,0.931,1.89804459719019e-185,"0","HSPA1A"
2.56423320659908e-189,1.48432425077364,0.933,0.667,5.57977145755959e-185,"0","HIF1A"
8.51444333703646e-189,2.60503899785931,0.552,0.129,1.85274287013913e-184,"0","KCNMA1"
1.10414936906526e-187,2.64940996761144,0.373,0.04,2.40262902708601e-183,"0","ABI3"
1.5356226042867e-185,2.95256652547121,0.39,0.049,3.34151478692785e-181,"0","NLRP3"
1.24728547856833e-184,1.93804442117761,0.817,0.426,2.71409320136469e-180,"0","BAG3"
3.61713062196669e-182,2.85074162121615,0.373,0.043,7.87087623339953e-178,"0","HCK"
7.58523874561948e-182,2.73303929550886,0.688,0.286,1.6505479510468e-177,"0","RANBP2"
1.57525004869779e-181,1.26692298486871,0.955,0.714,3.42774410596639e-177,"0","PABPC1"
7.52896071748002e-181,2.8043822328847,0.382,0.047,1.63830185212365e-176,"0","LAT2"
9.32195209727077e-181,1.91779443164528,0.736,0.298,2.02845677636612e-176,"0","TMEM176A"
1.12540081272659e-179,4.30213966808947,0.283,0.017,2.44887216849307e-175,"0","LYVE1"
3.22962758348914e-179,3.6164109467386,0.357,0.041,7.02766962167236e-175,"0","CD72"
6.13952122057527e-179,2.07345362129512,0.653,0.209,1.33595981759718e-174,"0","GAA"
2.93728731482757e-177,2.84774536875623,0.399,0.056,6.3915371970648e-173,"0","AQP9"
1.94005105770294e-176,2.76462773602191,0.382,0.049,4.2215511015616e-172,"0","ARHGAP45"
8.76887446690062e-176,4.40055389190925,0.301,0.024,1.90810708399757e-171,"0","DNAAF1"
5.67303778148913e-175,3.58332912192296,0.433,0.079,1.23445302125203e-170,"0","CH25H"
1.95737543730483e-174,2.83862831746569,0.351,0.038,4.25924895157531e-170,"0","EMB"
1.23282335814233e-173,1.81497169710943,0.805,0.421,2.68262362731772e-169,"0","CAPG"
6.08191871682997e-173,1.69742472706515,0.846,0.496,1.3234255127822e-168,"0","LIMS1"
7.34872475506239e-173,2.36585889929124,0.516,0.118,1.59908250670158e-168,"0","MGST2"
3.56871530384748e-172,2.72976790688425,0.422,0.07,7.76552450117211e-168,"0","SH2B3"
9.10236767311863e-172,0.988139914088224,0.999,0.993,1.98067520567061e-167,"0","MT-ATP6"
4.70612797063628e-171,1.10563956417645,0.985,0.731,1.02405344641045e-166,"0","HLA-E"
2.12118807068012e-170,1.15375944398098,0.981,0.817,4.61570524179995e-166,"0","MCL1"
5.62597381831282e-170,2.1885373533082,0.535,0.127,1.22421190286487e-165,"0","THEMIS2"
7.14691341428703e-170,2.85464672805711,0.363,0.045,1.55516835894886e-165,"0","SLC7A7"
3.65314900857851e-169,1.63765236887123,0.812,0.443,7.94925224266683e-165,"0","GRB2"
1.33000548754444e-168,2.73740279225725,0.365,0.046,2.89409194089671e-164,"0","CYTH4"
1.53553231809176e-168,2.52616537256543,0.715,0.313,3.34131832416768e-164,"0","KLF2"
1.55189233750488e-168,0.733395230107513,1,0.993,3.37691772641063e-164,"0","OAZ1"
2.66717484761463e-168,2.74711091751253,0.364,0.046,5.80377246840944e-164,"0","CSF3R"
2.70715353710927e-168,1.68376807913493,0.707,0.265,5.89076609674978e-164,"0","TSC22D3"
3.56032103130129e-168,1.81363397111287,0.717,0.276,7.7472585641116e-164,"0","PPIF"
1.18175226026493e-166,0.731227386642106,1,1,2.57149291833649e-162,"0","FTH1"
2.86194761275698e-166,2.22670386601975,0.403,0.061,6.2275980053592e-162,"0","OLFML3"
8.03819859233047e-164,1.77178821761487,0.613,0.177,1.74911201369111e-159,"0","GPNMB"
9.70074826844465e-162,3.02847762641821,0.345,0.043,2.11088282321355e-157,"0","IRF8"
6.1379982694443e-161,2.5200120230009,0.431,0.08,1.33562842343108e-156,"0","ARHGAP18"
6.54600258859586e-161,0.669829490139803,1,0.999,1.42441016327846e-156,"0","RPLP1"
1.67963982590987e-159,1.44118632605751,0.633,0.192,3.65489626117989e-155,"0","CXCR4"
2.03754749950916e-159,3.00682051087678,0.321,0.035,4.43370335893192e-155,"0","AOAH"
7.14408691708197e-159,3.02597454349836,0.327,0.038,1.55455331315704e-154,"0","PTGS1"
3.10714607336199e-158,1.97732252570536,0.434,0.078,6.76114985563569e-154,"0","STXBP2"
8.92084566164546e-158,1.89027773314522,0.779,0.395,1.94117601597405e-153,"0","AC020916.1"
8.96734954477546e-158,1.61424362463261,0.809,0.422,1.95129526094314e-153,"0","RGS2"
