"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","30/686","205/9382",0.146341463414634,2.00142217165612,4.07165176834874,0.000190070970136337,0.00145721077104525,0.00103848299472986,"HLA-E/B2M/HLA-C/HLA-B/MAP2K3/HLA-F/NFKB1/HLA-DQB1/LYN/HLA-DMB/TLR2/CD40/HLA-DPB1/NFKB2/SYK/MAPK13/ISG15/HLA-DMA/BCL2/HLA-DQA1/HLA-DRB5/HLA-DRB1/NFKBIE/TNF/HLA-DRA/CCND1/IRF7/HLA-DPA1/CCNE2/ENTPD1",30
"Organismal Systems","Immune system","hsa04611","Platelet activation","21/686","126/9382",0.166666666666667,2.27939747327502,4.06074715361554,0.000292568818116037,0.00216894172853653,0.00154569891082368,"VAMP8/FCER1G/FCGR2A/LCP2/TBXAS1/GNA13/FERMT3/LYN/APBB1IP/PTGS1/GNAI1/SYK/MAPK13/COL1A2/PRKCZ/PIK3R5/ADCY5/PLCB2/PLA2G4C/ADCY7/ADCY3",21
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","18/686","100/9382",0.18,2.46174927113703,4.12742285055057,0.000296377130607476,0.00216894172853653,0.00154569891082368,"CCL3/CSF1R/CCL4/IL18/TNFRSF1B/CCL4L2/CCL3L1/CCL20/IL10RA/CXCL8/LTBR/IL6R/CXCR4/IL10/CCR7/TNF/TNFRSF14/CCR1",18
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","19/686","109/9382",0.174311926605505,2.38395699039773,4.08180800463522,0.000312238008122817,0.00223423641367882,0.00159223124609998,"SPP1/CD14/CCL3/CCL4/MAP3K8/CCL4L2/CCL3L1/IL1B/CD86/LY96/MAP2K3/NFKB1/CXCL8/TLR2/CD40/MAPK13/TLR4/TNF/IRF7",19
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","18/686","103/9382",0.174757281553398,2.39004783605537,3.98404863386144,0.00043155457357481,0.00295660792959764,0.0021070301688535,"CCL3/C1QA/C1QC/C1QB/CCL3L1/IL1B/GNA15/NFKB1/CXCL8/TLR2/CFLAR/GNAI1/IL10/MAPK13/TLR4/TNF/PLCB2/GNAO1",18
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","18/686","103/9382",0.174757281553398,2.39004783605537,3.98404863386144,0.00043155457357481,0.00295660792959764,0.0021070301688535,"ITGB2/CD14/SERPINB9/IL1B/GNA15/NFKB1/CXCL8/TLR2/PRKCB/ITGAM/IL10/TLR4/COL1A2/TNF/PLCB2/ARG2/PTK2/COL4A5",18
"Metabolism","Lipid metabolism","hsa00600","Sphingolipid metabolism","12/686","55/9382",0.218181818181818,2.98393851046912,4.14443587432221,0.00050031104909626,0.00335625328768741,0.00239183791015317,"PSAP/PLPP2/GLA/UGT8/NEU1/SPTLC2/GAL3ST1/HEXA/CERS2/GM2A/SPHK1/SGMS1",12
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","44/686","362/9382",0.121546961325967,1.662323019184,3.60950565121192,0.000543345656442334,0.00357055717090677,0.00254456182823693,"SGK1/SPP1/HSP90AA1/HSP90AB1/CSF1R/FGFR2/NR4A1/MCL1/GNG7/GRB2/NFKB1/PIK3AP1/CSF3R/PDGFB/TLR2/NGFR/IL4R/IL6R/COL9A3/AREG/FLT1/ERBB3/OSM/SYK/TLR4/EREG/COL1A2/PIK3R5/BCL2/ITGA4/IBSP/PPP2R5A/BCL2L1/CCND1/LPAR6/SGK3/IGF1/FGF1/INSR/ITGB5/PTK2/CCNE2/PHLPP1/COL4A5",44
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","33/686","248/9382",0.133064516129032,1.81984153108248,3.67495573082415,0.000554490968071973,0.0035709218343835,0.00254482170609874,"HSP90AA1/HSP90AB1/CD14/RHOG/PYCARD/IL18/CYTH1/IL1B/PTPRC/LY96/MAP2K3/SNX9/NFKB1/CXCL8/NCKAP1L/TUBB4A/CYTH4/NLRP3/TLR2/ARPC1B/DNM2/NAIP/GSDMD/MAPK13/TLR4/DYNC1I1/BCL2/TNF/ELMO1/RIPK2/CYFIP1/PAK1/VPS18",33
"Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","28/686","200/9382",0.14,1.91469387755102,3.67239160626042,0.000638845197664311,0.00403349320878251,0.00287447374800454,"CLDN11/PYCARD/IL18/FCGR2A/CYTH1/IL1B/WIPF1/HCLS1/GNA13/NFKB1/CXCL8/NCKAP1L/TUBB4A/CYTH4/NLRP3/MYO1D/MYO1F/ARPC1B/PTPN6/NAIP/MYO1G/MAPK13/TLR4/MYO5A/TNF/ARHGEF2/CYFIP1/PAK1",28
