"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","Significance"
5.43915755824422e-16,-1.0970351394927,0.069,0.152,1.18356068467394e-11,"KIAA0895L","Downregulated in Tumor"
5.60931463249681e-16,-1.07095109779321,0.071,0.154,1.22058686403131e-11,"GUF1","Downregulated in Tumor"
5.82803697873443e-16,-1.41850675754003,0.044,0.115,1.26818084657261e-11,"ZADH2","Downregulated in Tumor"
5.83458090599128e-16,-1.46866449915291,0.039,0.108,1.2696048051437e-11,"SLC35D1","Downregulated in Tumor"
5.91785524523512e-16,-1.32699047269025,0.046,0.118,1.28772530136316e-11,"HAUS5","Downregulated in Tumor"
6.16345995404519e-16,-1.11307966085505,0.063,0.143,1.34116888600023e-11,"ZNF333","Downregulated in Tumor"
6.25363632204896e-16,-1.53749162327402,0.038,0.105,1.36079126367785e-11,"MIEF2","Downregulated in Tumor"
6.29984396857095e-16,-1.28055991416614,0.05,0.124,1.37084604756104e-11,"WFS1","Downregulated in Tumor"
7.11162854696611e-16,-1.14142624318741,0.065,0.145,1.54749037181983e-11,"ZNF282","Downregulated in Tumor"
7.30518577844091e-16,-1.14855683988992,0.076,0.16,1.58960842538874e-11,"GMNN","Downregulated in Tumor"
8.00922023318485e-16,-1.55766950521166,0.034,0.1,1.74280632274102e-11,"PRR4","Downregulated in Tumor"
8.31248701573409e-16,-1.07022351040476,0.068,0.15,1.80879717462374e-11,"ELP3","Downregulated in Tumor"
9.34889039183175e-16,-1.26221362168548,0.047,0.12,2.03431854926259e-11,"LINC02609","Downregulated in Tumor"
1.04703062728655e-15,-1.23072333555767,0.054,0.13,2.27833864497553e-11,"TIFA","Downregulated in Tumor"
1.05788025673158e-15,-1.20359088672059,0.059,0.137,2.30194743864792e-11,"SLC25A40","Downregulated in Tumor"
1.06788750671449e-15,-1.0160344361546,0.073,0.157,2.32372321461074e-11,"ACAD11","Downregulated in Tumor"
1.0890533455764e-15,-1.26766805177759,0.053,0.127,2.36978007997425e-11,"BMT2","Downregulated in Tumor"
1.19650345144407e-15,-1.29463509937786,0.044,0.115,2.6035915103423e-11,"PRIMPOL","Downregulated in Tumor"
1.41773262006576e-15,-1.51014113512907,0.037,0.103,3.0849861812631e-11,"ZNF337","Downregulated in Tumor"
1.4689973893271e-15,-1.34755541365364,0.045,0.116,3.19653831917577e-11,"FIZ1","Downregulated in Tumor"
1.54027217288645e-15,-1.33260294957688,0.045,0.116,3.35163224820092e-11,"MUTYH","Downregulated in Tumor"
1.54647151796867e-15,-1.03524847055921,0.075,0.158,3.36512202309982e-11,"MFSD8","Downregulated in Tumor"
1.55195106697273e-15,-1.39179133683204,0.039,0.107,3.37704552173266e-11,"DACT1","Downregulated in Tumor"
1.58096517713536e-15,-1.19858841190683,0.057,0.133,3.44018022544655e-11,"TIPIN","Downregulated in Tumor"
1.6936716149574e-15,-1.20403255059696,0.056,0.131,3.68542943414731e-11,"TBCK","Downregulated in Tumor"
1.72291001680867e-15,-1.50613920457157,0.039,0.106,3.74905219657567e-11,"WRAP53","Downregulated in Tumor"
1.75388168118598e-15,-1.14892924439402,0.06,0.138,3.81644653826069e-11,"RUNDC1","Downregulated in Tumor"
1.80812518990361e-15,-1.0531256869458,0.078,0.162,3.93448041323025e-11,"FXN","Downregulated in Tumor"
1.85282567109462e-15,-1.48728017732026,0.039,0.106,4.03174866030189e-11,"ZNF615","Downregulated in Tumor"
2.12024444931538e-15,-1.57154167979321,0.036,0.101,4.61365192171027e-11,"TMEM145","Downregulated in Tumor"
2.27040691673133e-15,-1.27176063312527,0.041,0.11,4.94040545080738e-11,"ZFP62","Downregulated in Tumor"
2.40210970246897e-15,-1.50803873748705,0.036,0.101,5.22699071257247e-11,"TYW1","Downregulated in Tumor"
2.60147839605049e-15,-1.22133096740013,0.051,0.124,5.66081698980587e-11,"PTCD1","Downregulated in Tumor"
2.93176361243762e-15,-1.39179133683204,0.042,0.11,6.37951762066425e-11,"ZBTB8A","Downregulated in Tumor"
3.54613449146457e-15,-1.07415226805005,0.069,0.15,7.7163886534269e-11,"FBXO42","Downregulated in Tumor"
3.80054504446111e-15,-1.02749947733088,0.074,0.156,8.26998601674737e-11,"RAB40C","Downregulated in Tumor"
3.86197468976364e-15,-1.14054869143232,0.076,0.158,8.40365692492567e-11,"TTC32","Downregulated in Tumor"
4.05180761634319e-15,-1.03766244633127,0.072,0.153,8.81673337316279e-11,"DGLUCY","Downregulated in Tumor"
4.05997194153567e-15,-1.39242099097882,0.039,0.105,8.83449894478161e-11,"LIPT1","Downregulated in Tumor"
4.31930911913867e-15,-1.07356868460617,0.068,0.148,9.39881664324576e-11,"ZCCHC9","Downregulated in Tumor"
4.38455197004871e-15,-1.30006898542849,0.053,0.125,9.540785086826e-11,"ZNF100","Downregulated in Tumor"
4.40097526656237e-15,-1.15474168821081,0.161,0.258,9.57652218003971e-11,"CDK6","Downregulated in Tumor"
4.45748683499485e-15,-1.2837055392196,0.051,0.123,9.69949135294879e-11,"NUDT19","Downregulated in Tumor"
4.66232915417156e-15,-1.05677126927897,0.072,0.152,1.01452282394773e-10,"SNHG10","Downregulated in Tumor"
4.70829605841541e-15,-1.20300462391229,0.047,0.118,1.02452522231119e-10,"ARSK","Downregulated in Tumor"
4.95140593708279e-15,-1.31374392232557,0.044,0.112,1.07742593190922e-10,"PRPF40B","Downregulated in Tumor"
5.00882340912326e-15,-1.21014722890745,0.054,0.126,1.08991997382522e-10,"MIS18A","Downregulated in Tumor"
5.32699948675453e-15,-1.31087574038507,0.053,0.124,1.15915508831779e-10,"PELI2","Downregulated in Tumor"
5.58483743613764e-15,-1.11607117966168,0.066,0.144,1.21526062610355e-10,"KCTD18","Downregulated in Tumor"
5.62948053900305e-15,-1.17955857493117,0.055,0.129,1.22497496528706e-10,"LRRC49","Downregulated in Tumor"
5.93438235405138e-15,-1.24246727351261,0.05,0.121,1.29132160024158e-10,"PIGL","Downregulated in Tumor"
6.28053488716206e-15,-1.19509942582695,0.05,0.122,1.36664439144646e-10,"FLT3LG","Downregulated in Tumor"
6.30055000426021e-15,-1.291236522916,0.04,0.107,1.37099968092702e-10,"ZNF248","Downregulated in Tumor"
6.75540605392094e-15,-1.30353149986626,0.047,0.117,1.4699763573332e-10,"GXYLT2","Downregulated in Tumor"
7.79458853609647e-15,-1.18216037011945,0.063,0.139,1.69610246545459e-10,"CHAMP1","Downregulated in Tumor"
7.92384565405574e-15,-1.01297087470423,0.074,0.155,1.72422881432253e-10,"METTL17","Downregulated in Tumor"
